
 Tiempo=22.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=22.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=22.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=22.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=23.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=23.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=23.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=23.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=24.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=24.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=24.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=24.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=25.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=25.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=25.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=25.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=26.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=26.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=26.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=26.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=27.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=27.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=27.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=27.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=28.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=28.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=28.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=28.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=29.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=29.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=29.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=29.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=30.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=30.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=30.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=30.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=31.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=31.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=31.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=31.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=32.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=32.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=32.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=32.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=33.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=33.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=33.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=33.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=34.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=34.250000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=34.500000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=34.750000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=35.000000, -nan, -nan, -nan, -nan , -nan , -nan
 Tiempo=35.250000, -nan, -nan, -nan, -nan , -nan , -nan
